asset_id,asset_type,subtype,station,division,zone,corridor_id,km,criticality,installation_date,condition_score,status
TMS-C01-TRK-1042,RAIL_60KG,CWR Main Line Up Track,OGL,Vijayawada,SCoR,C01,124.4,CRITICAL,2018-03-15,58,DEFECT_LOGGED
TMS-C01-PNT-1043,TURNOUT_1_IN_12,Points 102A Loop Entry,OGL,Vijayawada,SCoR,C01,124.6,HIGH,2019-07-22,64,MAINTENANCE_DUE
TMS-C01-SEJ-1044,EXPANSION_JOINT_SEJ,SEJ 60kg Rail Joint,CLX,Vijayawada,SCoR,C01,124.8,HIGH,2020-01-10,62,MAINTENANCE_DUE
TMS-C02-TRK-2051,RAIL_60KG,CWR Down Track SLO Section,SLO,Vijayawada,SCoR,C02,150.4,CRITICAL,2017-11-05,55,DEFECT_LOGGED
TMS-C02-TUR-2052,TURNOUT_1_IN_12,Facing Point 11B,SLO,Vijayawada,SCoR,C02,150.6,HIGH,2019-04-12,61,MAINTENANCE_DUE
TMS-C04-TRK-4081,RAIL_60KG,CWR Heavy Freight Line,YA,Guntakal,SCoR,C04,144.6,HIGH,2018-08-19,60,MAINTENANCE_DUE
TMS-C04-PNT-4082,TURNOUT_1_IN_12,Yard Crossover 201A,YA,Guntakal,SCoR,C04,144.9,CRITICAL,2017-02-14,52,DEFECT_LOGGED
TMS-C01-JOINT-0101,EXPANSION_JOINT_SEJ,Switch Expansion Joint (SEJ) Section BZA,BZA,Vijayawada,SCoR,C01,11.3,MEDIUM,2016-06-15,61,OPERATIONAL
TMS-C01-TRACK-0102,RAIL_60KG,Continuous Welded Rail (60kg UIC) Section BZA,BZA,Vijayawada,SCoR,C01,12.9,HIGH,2017-07-15,62,OPERATIONAL
TMS-C01-TURNOUT-0103,TURNOUT_1_IN_12,Points & Crossing Turnout 1-in-12 Section TEL,TEL,Vijayawada,SCoR,C01,35.8,MEDIUM,2018-08-15,63,OPERATIONAL
TMS-C01-SLEEPER-0104,PSC_SLEEPER,Pre-stressed Concrete Sleepers Section TEL,TEL,Vijayawada,SCoR,C01,37.4,MEDIUM,2019-01-15,64,MAINTENANCE_DUE
TMS-C01-JOINT-0105,GLUED_INSULATED_JOINT,Glued Insulated Rail Joint Section BPP,BPP,Vijayawada,SCoR,C01,77.3,CRITICAL,20110-02-15,65,OPERATIONAL
TMS-C01-CURVE-0106,TRANSITION_CURVE,High-speed Transition Curve 2.2 deg Section BPP,BPP,Vijayawada,SCoR,C01,78.9,MEDIUM,20111-03-15,66,OPERATIONAL
TMS-C01-JOINT-0107,EXPANSION_JOINT_SEJ,Switch Expansion Joint (SEJ) Section CLX,CLX,Vijayawada,SCoR,C01,92.8,MEDIUM,20112-04-15,67,OPERATIONAL
TMS-C01-TRACK-0108,RAIL_60KG,Continuous Welded Rail (60kg UIC) Section CLX,CLX,Vijayawada,SCoR,C01,94.4,HIGH,2014-05-15,68,MAINTENANCE_DUE
TMS-C01-TURNOUT-0109,TURNOUT_1_IN_12,Points & Crossing Turnout 1-in-12 Section OGL,OGL,Vijayawada,SCoR,C01,135.8,MEDIUM,2015-06-15,69,OPERATIONAL
TMS-C01-SLEEPER-0110,PSC_SLEEPER,Pre-stressed Concrete Sleepers Section OGL,OGL,Vijayawada,SCoR,C01,137.4,MEDIUM,2016-07-15,70,OPERATIONAL
TMS-C01-JOINT-0111,GLUED_INSULATED_JOINT,Glued Insulated Rail Joint Section SKM,SKM,Vijayawada,SCoR,C01,168.8,HIGH,2017-08-15,71,OPERATIONAL
TMS-C01-CURVE-0112,TRANSITION_CURVE,High-speed Transition Curve 2.2 deg Section SKM,SKM,Vijayawada,SCoR,C01,170.4,CRITICAL,2018-01-15,72,MAINTENANCE_DUE
TMS-C01-JOINT-0113,EXPANSION_JOINT_SEJ,Switch Expansion Joint (SEJ) Section KVZ,KVZ,Vijayawada,SCoR,C01,206.8,MEDIUM,2019-02-15,73,OPERATIONAL
TMS-C01-TRACK-0114,RAIL_60KG,Continuous Welded Rail (60kg UIC) Section KVZ,KVZ,Vijayawada,SCoR,C01,208.4,HIGH,20110-03-15,74,OPERATIONAL
TMS-C01-TURNOUT-0115,TURNOUT_1_IN_12,Points & Crossing Turnout 1-in-12 Section NLR,NLR,Vijayawada,SCoR,C01,257.8,MEDIUM,20111-04-15,75,OPERATIONAL
TMS-C01-SLEEPER-0116,PSC_SLEEPER,Pre-stressed Concrete Sleepers Section NLR,NLR,Vijayawada,SCoR,C01,259.4,MEDIUM,20112-05-15,76,MAINTENANCE_DUE
TMS-C01-JOINT-0117,GLUED_INSULATED_JOINT,Glued Insulated Rail Joint Section GDR,GDR,Vijayawada,SCoR,C01,290.8,HIGH,2014-06-15,77,OPERATIONAL
TMS-C01-CURVE-0118,TRANSITION_CURVE,High-speed Transition Curve 2.2 deg Section GDR,GDR,Vijayawada,SCoR,C01,292.4,MEDIUM,2015-07-15,78,OPERATIONAL
TMS-C02-JOINT-0119,EXPANSION_JOINT_SEJ,Switch Expansion Joint (SEJ) Section VSKP,VSKP,Vijayawada,SCoR,C02,8.8,CRITICAL,2016-08-15,79,OPERATIONAL
TMS-C02-TRACK-0120,RAIL_60KG,Continuous Welded Rail (60kg UIC) Section VSKP,VSKP,Vijayawada,SCoR,C02,10.4,HIGH,2017-01-15,80,MAINTENANCE_DUE
TMS-C02-TURNOUT-0121,TURNOUT_1_IN_12,Points & Crossing Turnout 1-in-12 Section DVD,DVD,Vijayawada,SCoR,C02,21.3,MEDIUM,2018-02-15,81,OPERATIONAL
TMS-C02-SLEEPER-0122,PSC_SLEEPER,Pre-stressed Concrete Sleepers Section DVD,DVD,Vijayawada,SCoR,C02,22.9,MEDIUM,2019-03-15,82,OPERATIONAL
TMS-C02-JOINT-0123,GLUED_INSULATED_JOINT,Glued Insulated Rail Joint Section AKP,AKP,Vijayawada,SCoR,C02,38.8,HIGH,20110-04-15,83,OPERATIONAL
TMS-C02-CURVE-0124,TRANSITION_CURVE,High-speed Transition Curve 2.2 deg Section AKP,AKP,Vijayawada,SCoR,C02,40.4,MEDIUM,20111-05-15,84,MAINTENANCE_DUE
TMS-C02-JOINT-0125,EXPANSION_JOINT_SEJ,Switch Expansion Joint (SEJ) Section TUNI,TUNI,Vijayawada,SCoR,C02,100.3,MEDIUM,20112-06-15,85,OPERATIONAL
TMS-C02-TRACK-0126,RAIL_60KG,Continuous Welded Rail (60kg UIC) Section TUNI,TUNI,Vijayawada,SCoR,C02,101.9,CRITICAL,2014-07-15,86,OPERATIONAL
TMS-C02-TURNOUT-0127,TURNOUT_1_IN_12,Points & Crossing Turnout 1-in-12 Section ANV,ANV,Vijayawada,SCoR,C02,115.8,MEDIUM,2015-08-15,87,OPERATIONAL
TMS-C02-SLEEPER-0128,PSC_SLEEPER,Pre-stressed Concrete Sleepers Section ANV,ANV,Vijayawada,SCoR,C02,117.4,MEDIUM,2016-01-15,88,MAINTENANCE_DUE
TMS-C02-JOINT-0129,GLUED_INSULATED_JOINT,Glued Insulated Rail Joint Section SLO,SLO,Vijayawada,SCoR,C02,152.8,HIGH,2017-02-15,89,OPERATIONAL
TMS-C02-CURVE-0130,TRANSITION_CURVE,High-speed Transition Curve 2.2 deg Section SLO,SLO,Vijayawada,SCoR,C02,154.4,MEDIUM,2018-03-15,90,OPERATIONAL
TMS-C02-JOINT-0131,EXPANSION_JOINT_SEJ,Switch Expansion Joint (SEJ) Section RJY,RJY,Vijayawada,SCoR,C02,203.8,MEDIUM,2019-04-15,91,OPERATIONAL
TMS-C02-TRACK-0132,RAIL_60KG,Continuous Welded Rail (60kg UIC) Section RJY,RJY,Vijayawada,SCoR,C02,205.4,HIGH,20110-05-15,92,MAINTENANCE_DUE
TMS-C02-TURNOUT-0133,TURNOUT_1_IN_12,Points & Crossing Turnout 1-in-12 Section NDD,NDD,Vijayawada,SCoR,C02,225.8,CRITICAL,20111-06-15,93,OPERATIONAL
TMS-C02-SLEEPER-0134,PSC_SLEEPER,Pre-stressed Concrete Sleepers Section NDD,NDD,Vijayawada,SCoR,C02,227.4,MEDIUM,20112-07-15,94,OPERATIONAL
TMS-C02-JOINT-0135,GLUED_INSULATED_JOINT,Glued Insulated Rail Joint Section TDD,TDD,Vijayawada,SCoR,C02,245.8,HIGH,2014-08-15,50,OPERATIONAL
TMS-C02-CURVE-0136,TRANSITION_CURVE,High-speed Transition Curve 2.2 deg Section TDD,TDD,Vijayawada,SCoR,C02,247.4,MEDIUM,2015-01-15,51,MAINTENANCE_DUE
TMS-C02-JOINT-0137,EXPANSION_JOINT_SEJ,Switch Expansion Joint (SEJ) Section EE,EE,Vijayawada,SCoR,C02,292.8,MEDIUM,2016-02-15,52,OPERATIONAL
TMS-C02-TRACK-0138,RAIL_60KG,Continuous Welded Rail (60kg UIC) Section EE,EE,Vijayawada,SCoR,C02,294.4,HIGH,2017-03-15,53,OPERATIONAL
TMS-C03-TURNOUT-0139,TURNOUT_1_IN_12,Points & Crossing Turnout 1-in-12 Section GNT,GNT,Guntur,SCoR,C03,12.8,MEDIUM,2018-04-15,54,OPERATIONAL
TMS-C03-SLEEPER-0140,PSC_SLEEPER,Pre-stressed Concrete Sleepers Section GNT,GNT,Guntur,SCoR,C03,14.4,CRITICAL,2019-05-15,55,MAINTENANCE_DUE
TMS-C03-JOINT-0141,GLUED_INSULATED_JOINT,Glued Insulated Rail Joint Section NRT,NRT,Guntur,SCoR,C03,48.8,HIGH,20110-06-15,56,OPERATIONAL
TMS-C03-CURVE-0142,TRANSITION_CURVE,High-speed Transition Curve 2.2 deg Section NRT,NRT,Guntur,SCoR,C03,50.4,MEDIUM,20111-07-15,57,OPERATIONAL
TMS-C03-JOINT-0143,EXPANSION_JOINT_SEJ,Switch Expansion Joint (SEJ) Section VKN,VKN,Guntur,SCoR,C03,85.8,MEDIUM,20112-08-15,58,OPERATIONAL
TMS-C03-TRACK-0144,RAIL_60KG,Continuous Welded Rail (60kg UIC) Section VKN,VKN,Guntur,SCoR,C03,87.4,HIGH,2014-01-15,59,MAINTENANCE_DUE
TMS-C03-TURNOUT-0145,TURNOUT_1_IN_12,Points & Crossing Turnout 1-in-12 Section DKD,DKD,Guntur,SCoR,C03,122.8,MEDIUM,2015-02-15,60,OPERATIONAL
TMS-C03-SLEEPER-0146,PSC_SLEEPER,Pre-stressed Concrete Sleepers Section DKD,DKD,Guntur,SCoR,C03,124.4,MEDIUM,2016-03-15,61,OPERATIONAL
TMS-C03-JOINT-0147,GLUED_INSULATED_JOINT,Glued Insulated Rail Joint Section MRK,MRK,Guntur,SCoR,C03,147.8,CRITICAL,2017-04-15,62,OPERATIONAL
TMS-C03-CURVE-0148,TRANSITION_CURVE,High-speed Transition Curve 2.2 deg Section MRK,MRK,Guntur,SCoR,C03,149.4,MEDIUM,2018-05-15,63,MAINTENANCE_DUE
TMS-C03-JOINT-0149,EXPANSION_JOINT_SEJ,Switch Expansion Joint (SEJ) Section GID,GID,Guntur,SCoR,C03,206.8,MEDIUM,2019-06-15,64,OPERATIONAL
TMS-C03-TRACK-0150,RAIL_60KG,Continuous Welded Rail (60kg UIC) Section GID,GID,Guntur,SCoR,C03,208.4,HIGH,20110-07-15,65,OPERATIONAL
TMS-C03-TURNOUT-0151,TURNOUT_1_IN_12,Points & Crossing Turnout 1-in-12 Section NDL,NDL,Guntur,SCoR,C03,255.8,MEDIUM,20111-08-15,66,OPERATIONAL
TMS-C03-SLEEPER-0152,PSC_SLEEPER,Pre-stressed Concrete Sleepers Section NDL,NDL,Guntur,SCoR,C03,257.4,MEDIUM,20112-01-15,67,MAINTENANCE_DUE
TMS-C04-JOINT-0153,GLUED_INSULATED_JOINT,Glued Insulated Rail Joint Section GTL,GTL,Guntakal,SCoR,C04,10.8,HIGH,2014-02-15,68,OPERATIONAL
TMS-C04-CURVE-0154,TRANSITION_CURVE,High-speed Transition Curve 2.2 deg Section GTL,GTL,Guntakal,SCoR,C04,12.4,CRITICAL,2015-03-15,69,OPERATIONAL
TMS-C04-JOINT-0155,EXPANSION_JOINT_SEJ,Switch Expansion Joint (SEJ) Section GY,GY,Guntakal,SCoR,C04,32.8,MEDIUM,2016-04-15,70,OPERATIONAL
TMS-C04-TRACK-0156,RAIL_60KG,Continuous Welded Rail (60kg UIC) Section GY,GY,Guntakal,SCoR,C04,34.4,HIGH,2017-05-15,71,MAINTENANCE_DUE
TMS-C04-TURNOUT-0157,TURNOUT_1_IN_12,Points & Crossing Turnout 1-in-12 Section TU,TU,Guntakal,SCoR,C04,79.8,MEDIUM,2018-06-15,72,OPERATIONAL
TMS-C04-SLEEPER-0158,PSC_SLEEPER,Pre-stressed Concrete Sleepers Section TU,TU,Guntakal,SCoR,C04,81.4,MEDIUM,2019-07-15,73,OPERATIONAL
TMS-C04-JOINT-0159,GLUED_INSULATED_JOINT,Glued Insulated Rail Joint Section KDP,KDP,Guntakal,SCoR,C04,106.8,HIGH,20110-08-15,74,OPERATIONAL
TMS-C04-CURVE-0160,TRANSITION_CURVE,High-speed Transition Curve 2.2 deg Section KDP,KDP,Guntakal,SCoR,C04,108.4,MEDIUM,20111-01-15,75,MAINTENANCE_DUE
TMS-C04-JOINT-0161,EXPANSION_JOINT_SEJ,Switch Expansion Joint (SEJ) Section YA,YA,Guntakal,SCoR,C04,146.8,CRITICAL,20112-02-15,76,OPERATIONAL
TMS-C04-TRACK-0162,RAIL_60KG,Continuous Welded Rail (60kg UIC) Section YA,YA,Guntakal,SCoR,C04,148.4,HIGH,2014-03-15,77,OPERATIONAL
TMS-C04-TURNOUT-0163,TURNOUT_1_IN_12,Points & Crossing Turnout 1-in-12 Section HX,HX,Guntakal,SCoR,C04,186.8,MEDIUM,2015-04-15,78,OPERATIONAL
TMS-C04-SLEEPER-0164,PSC_SLEEPER,Pre-stressed Concrete Sleepers Section HX,HX,Guntakal,SCoR,C04,188.4,MEDIUM,2016-05-15,79,MAINTENANCE_DUE
TMS-C04-JOINT-0165,GLUED_INSULATED_JOINT,Glued Insulated Rail Joint Section RJP,RJP,Guntakal,SCoR,C04,237.8,HIGH,2017-06-15,80,OPERATIONAL
TMS-C04-CURVE-0166,TRANSITION_CURVE,High-speed Transition Curve 2.2 deg Section RJP,RJP,Guntakal,SCoR,C04,239.4,MEDIUM,2018-07-15,81,OPERATIONAL
TMS-C04-JOINT-0167,EXPANSION_JOINT_SEJ,Switch Expansion Joint (SEJ) Section KOU,KOU,Guntakal,SCoR,C04,270.8,MEDIUM,2019-08-15,82,OPERATIONAL
TMS-C04-TRACK-0168,RAIL_60KG,Continuous Welded Rail (60kg UIC) Section KOU,KOU,Guntakal,SCoR,C04,272.4,CRITICAL,20110-01-15,83,MAINTENANCE_DUE
TMS-C04-TURNOUT-0169,TURNOUT_1_IN_12,Points & Crossing Turnout 1-in-12 Section RU,RU,Guntakal,SCoR,C04,311.8,MEDIUM,20111-02-15,84,OPERATIONAL
TMS-C04-SLEEPER-0170,PSC_SLEEPER,Pre-stressed Concrete Sleepers Section RU,RU,Guntakal,SCoR,C04,313.4,MEDIUM,20112-03-15,85,OPERATIONAL
