asset_id,asset_type,subtype,station,division,zone,corridor_id,km,criticality,installation_date,condition_score,status
SMMS-C01-SIG-0501,POINT_MACHINE_143,IRS Electric Point Machine Point 102A,OGL,Vijayawada,SCoR,C01,124.6,HIGH,2019-02-15,60,MAINTENANCE_DUE
SMMS-C01-AXC-0502,DIGITAL_AXLE_COUNTER,Dual High-Availability DAC Track Circuit,OGL,Vijayawada,SCoR,C01,124.8,CRITICAL,2018-11-25,54,DEFECT_LOGGED
SMMS-C02-INT-0601,ELECTRONIC_INTERLOCKING,Kavach Collision Prevention Beacon & Rack,SLO,Vijayawada,SCoR,C02,150.6,CRITICAL,2021-08-30,59,MAINTENANCE_DUE
SMMS-C04-SIG-0503,SIGNAL_LED_MULTI_ASPECT,S&T Asset RU Relay Room Sector 6,RU,Guntakal,SCoR,C04,312.5,MEDIUM,2023-03-10,73,OPERATIONAL
SMMS-C01-SIG-0504,POINT_MACHINE_143,S&T Asset BZA Relay Room Sector 1,BZA,Vijayawada,SCoR,C01,12.5,HIGH,2020-03-10,74,MAINTENANCE_DUE
SMMS-C02-SIG-0505,SIGNAL_LED_MULTI_ASPECT,S&T Asset SLO Relay Room Sector 2,SLO,Vijayawada,SCoR,C02,152.0,MEDIUM,2021-03-10,75,OPERATIONAL
SMMS-C03-SIG-0506,DIGITAL_AXLE_COUNTER,S&T Asset VKN Relay Room Sector 3,VKN,Guntur,SCoR,C03,85.5,HIGH,2022-03-10,76,OPERATIONAL
SMMS-C04-SIG-0507,POINT_MACHINE_143,S&T Asset KDP Relay Room Sector 4,KDP,Guntakal,SCoR,C04,107.0,MEDIUM,2023-03-10,77,OPERATIONAL
SMMS-C01-SIG-0508,DIGITAL_AXLE_COUNTER,S&T Asset OGL Relay Room Sector 5,OGL,Vijayawada,SCoR,C01,136.5,HIGH,2020-03-10,78,MAINTENANCE_DUE
SMMS-C02-SIG-0509,SIGNAL_LED_MULTI_ASPECT,S&T Asset EE Relay Room Sector 6,EE,Vijayawada,SCoR,C02,294.0,MEDIUM,2021-03-10,79,OPERATIONAL
SMMS-C03-SIG-0510,POINT_MACHINE_143,S&T Asset NDL Relay Room Sector 1,NDL,Guntur,SCoR,C03,255.0,HIGH,2022-03-10,80,OPERATIONAL
