block_id,section_id,date,start_time,end_time,department,reason,train_paths_affected,task_ids
BLK-BASE-001,SEC_C03_03,2026-09-27,13:00,15:30,Traction,Routine Traction independent track possession,0,TSK-2026-0112
BLK-BASE-002,SEC_C02_01,2026-10-01,13:00,15:30,S&T,Routine S&T independent track possession,0,"TSK-2026-0053,TSK-2026-0226"
BLK-BASE-003,SEC_C02_02,2026-09-11,09:00,12:00,S&T,Routine S&T independent track possession,5,"TSK-2026-0042,TSK-2026-0056"
BLK-BASE-004,SEC_C04_01,2026-09-25,09:00,12:00,S&T,Routine S&T independent track possession,4,TSK-2026-0366
BLK-BASE-005,SEC_C03_03,2026-09-25,16:00,18:30,Traction,Routine Traction independent track possession,5,TSK-2026-0223
BLK-BASE-006,SEC_C03_05,2026-09-25,06:00,08:30,Engineering,Routine Engineering independent track possession,7,"TSK-2026-0047,TSK-2026-0193"
BLK-BASE-007,SEC_C04_02,2026-10-04,09:00,12:00,Engineering,Routine Engineering independent track possession,5,"TSK-2026-0025,TSK-2026-0113"
BLK-BASE-008,SEC_C01_04,2026-09-29,13:00,15:30,Engineering,Routine Engineering independent track possession,1,"TSK-2026-0046,TSK-2026-0328"
BLK-BASE-009,SEC_C01_08,2026-10-04,06:00,08:30,Traction,Routine Traction independent track possession,6,TSK-2026-0360
BLK-BASE-010,SEC_C04_02,2026-09-17,13:00,15:30,S&T,Routine S&T independent track possession,1,"TSK-2026-0314,TSK-2026-0418"
BLK-BASE-011,SEC_C04_01,2026-09-24,06:00,08:30,Traction,Routine Traction independent track possession,4,"TSK-2026-0140,TSK-2026-0386"
BLK-BASE-012,SEC_C04_07,2026-09-13,13:00,15:30,Engineering,Routine Engineering independent track possession,1,"TSK-2026-0016,TSK-2026-0074"
BLK-BASE-013,SEC_C04_03,2026-09-16,01:00,03:00,Engineering,Routine Engineering independent track possession,2,"TSK-2026-0018,TSK-2026-0082"
BLK-BASE-014,SEC_C02_01,2026-09-07,06:00,08:30,Engineering,Routine Engineering independent track possession,3,"TSK-2026-0245,TSK-2026-0327"
BLK-BASE-015,SEC_C02_02,2026-09-22,13:00,15:30,S&T,Routine S&T independent track possession,0,"TSK-2026-0042,TSK-2026-0056"
BLK-BASE-016,SEC_C01_06,2026-09-27,16:00,18:30,Engineering,Routine Engineering independent track possession,6,"TSK-2026-0004,TSK-2026-0179"
BLK-BASE-017,SEC_C04_04,2026-09-12,09:00,12:00,S&T,Routine S&T independent track possession,6,"TSK-2026-0027,TSK-2026-0038"
BLK-BASE-018,SEC_C04_05,2026-09-18,06:00,08:30,Traction,Routine Traction independent track possession,6,TSK-2026-0310
BLK-BASE-019,SEC_C01_01,2026-09-22,16:00,18:30,S&T,Routine S&T independent track possession,4,"TSK-2026-0036,TSK-2026-0127"
BLK-BASE-020,SEC_C02_10,2026-09-24,13:00,15:30,Traction,Routine Traction independent track possession,0,"TSK-2026-0067,TSK-2026-0266"
BLK-BASE-021,SEC_C01_03,2026-09-22,13:00,15:30,S&T,Routine S&T independent track possession,0,"TSK-2026-0050,TSK-2026-0091"
BLK-BASE-022,SEC_C04_07,2026-09-09,06:00,08:30,S&T,Routine S&T independent track possession,7,TSK-2026-0385
BLK-BASE-023,SEC_C02_10,2026-09-23,06:00,08:30,Traction,Routine Traction independent track possession,7,"TSK-2026-0067,TSK-2026-0266"
BLK-BASE-024,SEC_C01_06,2026-09-22,13:00,15:30,Engineering,Routine Engineering independent track possession,2,"TSK-2026-0004,TSK-2026-0179"
BLK-BASE-025,SEC_C01_05,2026-09-27,09:00,12:00,S&T,Routine S&T independent track possession,7,TSK-2026-0160
BLK-BASE-026,SEC_C01_04,2026-09-24,16:00,18:30,Traction,Routine Traction independent track possession,6,"TSK-2026-0043,TSK-2026-0092"
BLK-BASE-027,SEC_C04_06,2026-09-22,13:00,15:30,S&T,Routine S&T independent track possession,1,TSK-2026-0264
BLK-BASE-028,SEC_C04_03,2026-10-02,09:00,12:00,Traction,Routine Traction independent track possession,4,"TSK-2026-0158,TSK-2026-0219"
BLK-BASE-029,SEC_C01_03,2026-09-26,13:00,15:30,S&T,Routine S&T independent track possession,2,"TSK-2026-0050,TSK-2026-0091"
BLK-BASE-030,SEC_C02_09,2026-09-27,09:00,12:00,Engineering,Routine Engineering independent track possession,4,"TSK-2026-0096,TSK-2026-0102"
BLK-BASE-031,SEC_C01_04,2026-09-16,16:00,18:30,S&T,Routine S&T independent track possession,7,"TSK-2026-0055,TSK-2026-0180"
BLK-BASE-032,SEC_C01_02,2026-09-22,06:00,08:30,Traction,Routine Traction independent track possession,7,"TSK-2026-0006,TSK-2026-0168"
BLK-BASE-033,SEC_C01_05,2026-09-15,06:00,08:30,Traction,Routine Traction independent track possession,5,"TSK-2026-0364,TSK-2026-0402"
BLK-BASE-034,SEC_C02_10,2026-09-07,13:00,15:30,Traction,Routine Traction independent track possession,2,"TSK-2026-0067,TSK-2026-0266"
BLK-BASE-035,SEC_C02_04,2026-09-30,06:00,08:30,S&T,Routine S&T independent track possession,6,"TSK-2026-0265,TSK-2026-0416"
BLK-BASE-036,SEC_C03_06,2026-09-15,16:00,18:30,Engineering,Routine Engineering independent track possession,4,"TSK-2026-0144,TSK-2026-0177"
BLK-BASE-037,SEC_C04_08,2026-10-02,09:00,12:00,Engineering,Routine Engineering independent track possession,3,"TSK-2026-0084,TSK-2026-0123"
BLK-BASE-038,SEC_C03_04,2026-09-11,13:00,15:30,Engineering,Routine Engineering independent track possession,0,"TSK-2026-0104,TSK-2026-0142"
BLK-BASE-039,SEC_C04_08,2026-10-01,09:00,12:00,Traction,Routine Traction independent track possession,6,"TSK-2026-0079,TSK-2026-0083"
BLK-BASE-040,SEC_C02_03,2026-09-25,13:00,15:30,Engineering,Routine Engineering independent track possession,1,"TSK-2026-0088,TSK-2026-0126"
BLK-BASE-041,SEC_C01_04,2026-09-15,16:00,18:30,S&T,Routine S&T independent track possession,3,"TSK-2026-0055,TSK-2026-0180"
BLK-BASE-042,SEC_C01_04,2026-09-21,09:00,12:00,Engineering,Routine Engineering independent track possession,5,"TSK-2026-0046,TSK-2026-0328"
BLK-BASE-043,SEC_C04_07,2026-10-01,01:00,03:00,S&T,Routine S&T independent track possession,0,TSK-2026-0195
BLK-BASE-044,SEC_C04_01,2026-09-15,06:00,08:30,Traction,Routine Traction independent track possession,6,"TSK-2026-0140,TSK-2026-0386"
BLK-BASE-045,SEC_C01_01,2026-10-02,09:00,12:00,Traction,Routine Traction independent track possession,5,TSK-2026-0153
BLK-BASE-046,SEC_C01_03,2026-09-24,13:00,15:30,Engineering,Routine Engineering independent track possession,1,"TSK-2026-0012,TSK-2026-0078"
BLK-BASE-047,SEC_C02_10,2026-09-15,09:00,12:00,Traction,Routine Traction independent track possession,3,"TSK-2026-0067,TSK-2026-0266"
BLK-BASE-048,SEC_C02_09,2026-09-25,09:00,12:00,S&T,Routine S&T independent track possession,4,"TSK-2026-0291,TSK-2026-0340"
BLK-BASE-049,SEC_C02_05,2026-09-17,13:00,15:30,S&T,Routine S&T independent track possession,0,"TSK-2026-0204,TSK-2026-0273"
BLK-BASE-050,SEC_C03_03,2026-09-07,13:00,15:30,S&T,Routine S&T independent track possession,0,"TSK-2026-0118,TSK-2026-0296"
BLK-BASE-051,SEC_C01_01,2026-09-10,09:00,12:00,Traction,Routine Traction independent track possession,6,TSK-2026-0153
BLK-BASE-052,SEC_C03_05,2026-09-30,09:00,12:00,Engineering,Routine Engineering independent track possession,4,"TSK-2026-0047,TSK-2026-0193"
BLK-BASE-053,SEC_C01_03,2026-09-26,06:00,08:30,Engineering,Routine Engineering independent track possession,7,"TSK-2026-0012,TSK-2026-0078"
BLK-BASE-054,SEC_C02_06,2026-09-27,06:00,08:30,S&T,Routine S&T independent track possession,3,"TSK-2026-0194,TSK-2026-0231"
BLK-BASE-055,SEC_C01_06,2026-09-11,09:00,12:00,S&T,Routine S&T independent track possession,7,"TSK-2026-0103,TSK-2026-0137"
BLK-BASE-056,SEC_C02_04,2026-09-29,06:00,08:30,Engineering,Routine Engineering independent track possession,5,TSK-2026-0203
BLK-BASE-057,SEC_C04_06,2026-09-09,13:00,15:30,S&T,Routine S&T independent track possession,1,TSK-2026-0264
BLK-BASE-058,SEC_C04_04,2026-09-28,16:00,18:30,S&T,Routine S&T independent track possession,5,"TSK-2026-0027,TSK-2026-0038"
BLK-BASE-059,SEC_C02_09,2026-10-01,06:00,08:30,Engineering,Routine Engineering independent track possession,3,"TSK-2026-0096,TSK-2026-0102"
BLK-BASE-060,SEC_C04_01,2026-09-17,01:00,03:00,Traction,Routine Traction independent track possession,1,"TSK-2026-0140,TSK-2026-0386"
BLK-BASE-061,SEC_C02_09,2026-09-21,06:00,08:30,Engineering,Routine Engineering independent track possession,4,"TSK-2026-0096,TSK-2026-0102"
BLK-BASE-062,SEC_C04_02,2026-09-27,09:00,12:00,Engineering,Routine Engineering independent track possession,4,"TSK-2026-0025,TSK-2026-0113"
BLK-BASE-063,SEC_C04_04,2026-09-26,13:00,15:30,Engineering,Routine Engineering independent track possession,1,"TSK-2026-0064,TSK-2026-0146"
BLK-BASE-064,SEC_C02_09,2026-09-08,06:00,08:30,Engineering,Routine Engineering independent track possession,7,"TSK-2026-0096,TSK-2026-0102"
BLK-BASE-065,SEC_C02_09,2026-09-07,16:00,18:30,Traction,Routine Traction independent track possession,4,TSK-2026-0335
BLK-BASE-066,SEC_C01_01,2026-09-28,09:00,12:00,Engineering,Routine Engineering independent track possession,4,"TSK-2026-0022,TSK-2026-0098"
BLK-BASE-067,SEC_C03_04,2026-09-25,06:00,08:30,Traction,Routine Traction independent track possession,6,"TSK-2026-0213,TSK-2026-0260"
BLK-BASE-068,SEC_C04_07,2026-09-19,16:00,18:30,Traction,Routine Traction independent track possession,3,"TSK-2026-0150,TSK-2026-0255"
BLK-BASE-069,SEC_C02_07,2026-09-19,01:00,03:00,Engineering,Routine Engineering independent track possession,1,"TSK-2026-0031,TSK-2026-0037"
BLK-BASE-070,SEC_C01_08,2026-09-24,01:00,03:00,S&T,Routine S&T independent track possession,1,"TSK-2026-0174,TSK-2026-0307"
BLK-BASE-071,SEC_C03_04,2026-09-16,09:00,12:00,S&T,Routine S&T independent track possession,3,"TSK-2026-0029,TSK-2026-0403"
BLK-BASE-072,SEC_C03_06,2026-10-04,01:00,03:00,S&T,Routine S&T independent track possession,0,"TSK-2026-0081,TSK-2026-0085"
BLK-BASE-073,SEC_C04_06,2026-09-27,06:00,08:30,Traction,Routine Traction independent track possession,7,"TSK-2026-0222,TSK-2026-0351"
BLK-BASE-074,SEC_C01_03,2026-09-28,06:00,08:30,Traction,Routine Traction independent track possession,6,"TSK-2026-0045,TSK-2026-0087"
BLK-BASE-075,SEC_C01_07,2026-09-29,09:00,12:00,S&T,Routine S&T independent track possession,3,"TSK-2026-0003,TSK-2026-0256"
BLK-BASE-076,SEC_C04_05,2026-09-13,06:00,08:30,S&T,Routine S&T independent track possession,4,"TSK-2026-0068,TSK-2026-0069"
BLK-BASE-077,SEC_C01_02,2026-09-25,06:00,08:30,S&T,Routine S&T independent track possession,6,"TSK-2026-0182,TSK-2026-0197"
BLK-BASE-078,SEC_C01_05,2026-09-27,09:00,12:00,S&T,Routine S&T independent track possession,7,TSK-2026-0231
BLK-BASE-079,SEC_C01_02,2026-09-17,06:00,08:30,Engineering,Routine Engineering independent track possession,3,"TSK-2026-0060,TSK-2026-0195"
BLK-BASE-080,SEC_C04_02,2026-09-13,16:00,18:30,Engineering,Routine Engineering independent track possession,7,"TSK-2026-0025,TSK-2026-0113"
BLK-BASE-081,SEC_C04_06,2026-10-04,16:00,18:30,S&T,Routine S&T independent track possession,4,TSK-2026-0264
BLK-BASE-082,SEC_C02_07,2026-09-08,13:00,15:30,Engineering,Routine Engineering independent track possession,1,"TSK-2026-0031,TSK-2026-0037"
BLK-BASE-083,SEC_C01_02,2026-09-26,06:00,08:30,Traction,Routine Traction independent track possession,4,"TSK-2026-0006,TSK-2026-0168"
BLK-BASE-084,SEC_C01_01,2026-09-27,06:00,08:30,Engineering,Routine Engineering independent track possession,5,"TSK-2026-0022,TSK-2026-0098"
BLK-BASE-085,SEC_C01_07,2026-09-26,06:00,08:30,Traction,Routine Traction independent track possession,7,"TSK-2026-0024,TSK-2026-0326"
