train_id,train_name,train_type,corridor_id,direction,entry_time,exit_time,entry_min,exit_min,priority,days
20833,VSKP-SC Vande Bharat Express,VANDE_BHARAT,C02,DOWN,05:45,09:50,345,590,NON_NEGOTIABLE,"Mon,Tue,Wed,Thu,Fri,Sat"
20834,SC-VSKP Vande Bharat Express,VANDE_BHARAT,C02,UP,15:00,19:15,900,1155,NON_NEGOTIABLE,"Mon,Tue,Wed,Thu,Fri,Sat"
12760,Charminar Express,SUPERFAST,C01,DOWN,23:55,04:10,1435,250,HIGH,DAILY
12759,Charminar Express (Up),SUPERFAST,C01,UP,20:30,00:45,1230,45,HIGH,DAILY
12841,Coromandel Express,SUPERFAST,C01,DOWN,09:20,13:40,560,820,HIGH,DAILY
12842,Coromandel Express (Up),SUPERFAST,C01,UP,14:15,18:40,855,1120,HIGH,DAILY
12727,Godavari Express,SUPERFAST,C02,UP,17:20,22:15,1040,1335,HIGH,DAILY
12711,Pinakini Express,INTERCITY,C01,DOWN,06:10,10:30,370,630,MEDIUM,DAILY
12712,Pinakini Express (Up),INTERCITY,C01,UP,16:10,20:45,970,1245,MEDIUM,DAILY
12797,Venkatadri Express,SUPERFAST,C04,DOWN,02:15,06:45,135,405,HIGH,DAILY
17225,Amaravati Express,EXPRESS,C03,DOWN,05:00,09:30,300,570,MEDIUM,DAILY
FRT-8012,Krishnapatnam Port Coal #12,FREIGHT_CEMENT,C01,UP,13:15,16:45,795,1005,LOW,DAILY
PAS-8013,Vizag Steel Rake #13,PARCEL_EXPRESS,C02,DOWN,16:15,20:45,975,1245,MEDIUM,DAILY
PAS-8014,Gudur Goods BoxN #14,PASSENGER_SPECIAL,C03,UP,19:15,00:45,1155,45,MEDIUM,DAILY
FRT-8015,Krishnapatnam Port Coal #15,FREIGHT_COAL_RAKE,C04,DOWN,22:15,01:45,1335,105,LOW,DAILY
FRT-8016,Gudur Goods BoxN #16,FREIGHT_CONTAINER,C01,UP,01:15,05:45,75,345,LOW,DAILY
FRT-8017,Vizag Steel Rake #17,FREIGHT_CEMENT,C02,DOWN,04:15,09:45,255,585,LOW,DAILY
PAS-8018,Krishnapatnam Port Coal #18,PARCEL_EXPRESS,C03,UP,07:15,10:45,435,645,MEDIUM,DAILY
PAS-8019,Vizag Steel Rake #19,PASSENGER_SPECIAL,C04,DOWN,10:15,14:45,615,885,MEDIUM,DAILY
FRT-8020,Gudur Goods BoxN #20,FREIGHT_COAL_RAKE,C01,UP,13:15,18:45,795,1125,LOW,DAILY
FRT-8021,Krishnapatnam Port Coal #21,FREIGHT_CONTAINER,C02,DOWN,16:15,19:45,975,1185,LOW,DAILY
FRT-8022,Gudur Goods BoxN #22,FREIGHT_CEMENT,C03,UP,19:15,23:45,1155,1425,LOW,DAILY
PAS-8023,Vizag Steel Rake #23,PARCEL_EXPRESS,C04,DOWN,22:15,03:45,1335,225,MEDIUM,DAILY
PAS-8024,Krishnapatnam Port Coal #24,PASSENGER_SPECIAL,C01,UP,01:15,04:45,75,285,MEDIUM,DAILY
FRT-8025,Vizag Steel Rake #25,FREIGHT_COAL_RAKE,C02,DOWN,04:15,08:45,255,525,LOW,DAILY
FRT-8026,Gudur Goods BoxN #26,FREIGHT_CONTAINER,C03,UP,07:15,12:45,435,765,LOW,DAILY
FRT-8027,Krishnapatnam Port Coal #27,FREIGHT_CEMENT,C04,DOWN,10:15,13:45,615,825,LOW,DAILY
PAS-8028,Gudur Goods BoxN #28,PARCEL_EXPRESS,C01,UP,13:15,17:45,795,1065,MEDIUM,DAILY
PAS-8029,Vizag Steel Rake #29,PASSENGER_SPECIAL,C02,DOWN,16:15,21:45,975,1305,MEDIUM,DAILY
FRT-8030,Krishnapatnam Port Coal #30,FREIGHT_COAL_RAKE,C03,UP,19:15,22:45,1155,1365,LOW,DAILY
FRT-8031,Vizag Steel Rake #31,FREIGHT_CONTAINER,C04,DOWN,22:15,02:45,1335,165,LOW,DAILY
