block_request_id,corridor_id,department,requested_date,requested_start,requested_end,requested_duration_min,reason,status,station,km_range
BDMS-REQ-0017,C01,Engineering,2026-09-09,01:00,03:00,120,Routine tamping and joint testing around Ongole section (KM 124),SUBMITTED_TO_SR_DOM,OGL,122.0-126.0
BDMS-REQ-0022,C02,Traction,2026-09-09,02:00,04:00,120,OHE contact wire adjustment Samalkot Jn area,SUBMITTED_TO_SR_DOM,SLO,149.0-152.0
BDMS-REQ-0018,C03,Engineering,2026-09-11,13:00,15:30,150,Siloed departmental maintenance request at MRK section,PENDING_CP_SAT_EVALUATION,MRK,147.0-150.0
BDMS-REQ-0019,C04,Traction,2026-09-12,15:00,18:30,180,Siloed departmental maintenance request at GY section,PENDING_CP_SAT_EVALUATION,GY,32.0-35.0
BDMS-REQ-0020,C01,S&T,2026-09-08,17:00,18:30,90,Siloed departmental maintenance request at BPP section,PENDING_CP_SAT_EVALUATION,BPP,76.5-79.5
BDMS-REQ-0021,C02,Engineering,2026-09-09,19:00,21:30,120,Siloed departmental maintenance request at DVD section,PENDING_CP_SAT_EVALUATION,DVD,20.5-23.5
BDMS-REQ-0022,C03,Traction,2026-09-10,21:00,23:30,150,Siloed departmental maintenance request at NRT section,PENDING_CP_SAT_EVALUATION,NRT,48.0-51.0
BDMS-REQ-0023,C04,S&T,2026-09-11,23:00,02:30,180,Siloed departmental maintenance request at HX section,PENDING_CP_SAT_EVALUATION,HX,186.0-189.0
BDMS-REQ-0024,C01,Engineering,2026-09-12,01:00,02:30,90,Siloed departmental maintenance request at KVZ section,PENDING_CP_SAT_EVALUATION,KVZ,206.0-209.0
BDMS-REQ-0025,C02,Traction,2026-09-08,03:00,05:30,120,Siloed departmental maintenance request at SLO section,PENDING_CP_SAT_EVALUATION,SLO,152.0-155.0
BDMS-REQ-0026,C03,S&T,2026-09-09,05:00,07:30,150,Siloed departmental maintenance request at GID section,PENDING_CP_SAT_EVALUATION,GID,206.0-209.0
BDMS-REQ-0027,C04,Engineering,2026-09-10,07:00,10:30,180,Siloed departmental maintenance request at GTL section,PENDING_CP_SAT_EVALUATION,GTL,10.0-13.0
BDMS-REQ-0028,C01,Traction,2026-09-11,09:00,10:30,90,Siloed departmental maintenance request at TEL section,PENDING_CP_SAT_EVALUATION,TEL,35.0-38.0
BDMS-REQ-0029,C02,S&T,2026-09-12,11:00,13:30,120,Siloed departmental maintenance request at EE section,PENDING_CP_SAT_EVALUATION,EE,292.0-295.0
BDMS-REQ-0030,C03,Engineering,2026-09-08,13:00,15:30,150,Siloed departmental maintenance request at VKN section,PENDING_CP_SAT_EVALUATION,VKN,85.0-88.0
BDMS-REQ-0031,C04,Traction,2026-09-09,15:00,18:30,180,Siloed departmental maintenance request at YA section,PENDING_CP_SAT_EVALUATION,YA,146.0-149.0
BDMS-REQ-0032,C01,S&T,2026-09-10,17:00,18:30,90,Siloed departmental maintenance request at SKM section,PENDING_CP_SAT_EVALUATION,SKM,168.0-171.0
BDMS-REQ-0033,C02,Engineering,2026-09-11,19:00,21:30,120,Siloed departmental maintenance request at TUNI section,PENDING_CP_SAT_EVALUATION,TUNI,99.5-102.5
BDMS-REQ-0034,C03,Traction,2026-09-12,21:00,23:30,150,Siloed departmental maintenance request at NDL section,PENDING_CP_SAT_EVALUATION,NDL,255.0-258.0
BDMS-REQ-0035,C04,S&T,2026-09-08,23:00,02:30,180,Siloed departmental maintenance request at RU section,PENDING_CP_SAT_EVALUATION,RU,311.0-314.0
BDMS-REQ-0036,C01,Engineering,2026-09-09,01:00,02:30,90,Siloed departmental maintenance request at BZA section,PENDING_CP_SAT_EVALUATION,BZA,10.5-13.5
BDMS-REQ-0037,C02,Traction,2026-09-10,03:00,05:30,120,Siloed departmental maintenance request at NDD section,PENDING_CP_SAT_EVALUATION,NDD,225.0-228.0
BDMS-REQ-0038,C03,S&T,2026-09-11,05:00,07:30,150,Siloed departmental maintenance request at DKD section,PENDING_CP_SAT_EVALUATION,DKD,122.0-125.0
BDMS-REQ-0039,C04,Engineering,2026-09-12,07:00,10:30,180,Siloed departmental maintenance request at KDP section,PENDING_CP_SAT_EVALUATION,KDP,106.0-109.0
BDMS-REQ-0040,C01,Traction,2026-09-08,09:00,10:30,90,Siloed departmental maintenance request at OGL section,PENDING_CP_SAT_EVALUATION,OGL,135.0-138.0
BDMS-REQ-0041,C02,S&T,2026-09-09,11:00,13:30,120,Siloed departmental maintenance request at DVD section,PENDING_CP_SAT_EVALUATION,DVD,20.5-23.5
BDMS-REQ-0042,C03,Engineering,2026-09-10,13:00,15:30,150,Siloed departmental maintenance request at GNT section,PENDING_CP_SAT_EVALUATION,GNT,12.0-15.0
BDMS-REQ-0043,C04,Traction,2026-09-11,15:00,18:30,180,Siloed departmental maintenance request at KOU section,PENDING_CP_SAT_EVALUATION,KOU,270.0-273.0
BDMS-REQ-0044,C01,S&T,2026-09-12,17:00,18:30,90,Siloed departmental maintenance request at GDR section,PENDING_CP_SAT_EVALUATION,GDR,290.0-293.0
BDMS-REQ-0045,C02,Engineering,2026-09-08,19:00,21:30,120,Siloed departmental maintenance request at SLO section,PENDING_CP_SAT_EVALUATION,SLO,152.0-155.0
BDMS-REQ-0046,C03,Traction,2026-09-09,21:00,23:30,150,Siloed departmental maintenance request at MRK section,PENDING_CP_SAT_EVALUATION,MRK,147.0-150.0
BDMS-REQ-0047,C04,S&T,2026-09-10,23:00,02:30,180,Siloed departmental maintenance request at TU section,PENDING_CP_SAT_EVALUATION,TU,79.0-82.0
BDMS-REQ-0048,C01,Engineering,2026-09-11,01:00,02:30,90,Siloed departmental maintenance request at CLX section,PENDING_CP_SAT_EVALUATION,CLX,92.0-95.0
BDMS-REQ-0049,C02,Traction,2026-09-12,03:00,05:30,120,Siloed departmental maintenance request at EE section,PENDING_CP_SAT_EVALUATION,EE,292.0-295.0
