asset_id,asset_type,subtype,station,division,zone,corridor_id,km,criticality,installation_date,condition_score,status
TDMS-C01-OHE-0201,CATENARY_CONTACT_WIRE,25kV AC Contact Wire Up Line,OGL,Vijayawada,SCoR,C01,124.3,HIGH,2016-05-18,62,MAINTENANCE_DUE
TDMS-C01-ISO-0202,OHE_SECTION_ISOLATOR,Motorized Vacuum Isolator SM-102,OGL,Vijayawada,SCoR,C01,124.6,CRITICAL,2017-09-12,56,DEFECT_LOGGED
TDMS-C02-CAT-0301,CATENARY_CONTACT_WIRE,Main Line Catenary Mast 150/12,SLO,Vijayawada,SCoR,C02,150.5,HIGH,2018-04-10,64,MAINTENANCE_DUE
TDMS-C04-OHE-0203,OHE_SECTION_ISOLATOR,25kV OHE Structure HX Bay 4,HX,Guntakal,SCoR,C04,188.0,MEDIUM,2017-10-20,71,OPERATIONAL
TDMS-C01-OHE-0204,CANTILEVER_MAST,25kV OHE Structure KVZ Bay 5,KVZ,Vijayawada,SCoR,C01,206.0,HIGH,2018-10-20,72,MAINTENANCE_DUE
TDMS-C02-OHE-0205,OHE_SECTION_ISOLATOR,25kV OHE Structure SLO Bay 6,SLO,Vijayawada,SCoR,C02,152.4,MEDIUM,2019-10-20,73,OPERATIONAL
TDMS-C03-OHE-0206,AUTO_TENSION_AT,25kV OHE Structure DKD Bay 7,DKD,Guntur,SCoR,C03,122.8,MEDIUM,20110-10-20,74,OPERATIONAL
TDMS-C04-OHE-0207,CANTILEVER_MAST,25kV OHE Structure GTL Bay 8,GTL,Guntakal,SCoR,C04,11.2,HIGH,20111-10-20,75,MAINTENANCE_DUE
TDMS-C01-OHE-0208,AUTO_TENSION_AT,25kV OHE Structure TEL Bay 1,TEL,Vijayawada,SCoR,C01,36.6,MEDIUM,2014-10-20,76,OPERATIONAL
TDMS-C02-OHE-0209,OHE_SECTION_ISOLATOR,25kV OHE Structure EE Bay 2,EE,Vijayawada,SCoR,C02,294.0,MEDIUM,2015-10-20,77,OPERATIONAL
TDMS-C03-OHE-0210,CANTILEVER_MAST,25kV OHE Structure GNT Bay 3,GNT,Guntur,SCoR,C03,12.0,HIGH,2016-10-20,78,MAINTENANCE_DUE
TDMS-C04-OHE-0211,OHE_SECTION_ISOLATOR,25kV OHE Structure YA Bay 4,YA,Guntakal,SCoR,C04,146.4,MEDIUM,2017-10-20,79,OPERATIONAL
TDMS-C01-OHE-0212,AUTO_TENSION_AT,25kV OHE Structure SKM Bay 5,SKM,Vijayawada,SCoR,C01,168.8,MEDIUM,2018-10-20,80,OPERATIONAL
TDMS-C02-OHE-0213,CANTILEVER_MAST,25kV OHE Structure TUNI Bay 6,TUNI,Vijayawada,SCoR,C02,100.7,HIGH,2019-10-20,81,MAINTENANCE_DUE
TDMS-C03-OHE-0214,AUTO_TENSION_AT,25kV OHE Structure MRK Bay 7,MRK,Guntur,SCoR,C03,148.6,MEDIUM,20110-10-20,82,OPERATIONAL
TDMS-C04-OHE-0215,OHE_SECTION_ISOLATOR,25kV OHE Structure RU Bay 8,RU,Guntakal,SCoR,C04,313.0,MEDIUM,20111-10-20,83,OPERATIONAL
TDMS-C01-OHE-0216,CANTILEVER_MAST,25kV OHE Structure BZA Bay 1,BZA,Vijayawada,SCoR,C01,10.5,HIGH,2014-10-20,84,MAINTENANCE_DUE
TDMS-C02-OHE-0217,OHE_SECTION_ISOLATOR,25kV OHE Structure NDD Bay 2,NDD,Vijayawada,SCoR,C02,225.4,MEDIUM,2015-10-20,85,OPERATIONAL
TDMS-C03-OHE-0218,AUTO_TENSION_AT,25kV OHE Structure NRT Bay 3,NRT,Guntur,SCoR,C03,48.8,MEDIUM,2016-10-20,86,OPERATIONAL
