job_id,asset_id,department,corridor_id,station,km,job_type,severity,priority_score,due_date,estimated_duration_min,crew_required,equipment_required,block_required,status,source_system
TDMS-JOB-201,TDMS-C01-OHE-0201,Traction,C01,OGL,124.3,OHE_POWER_ISOLATION_AND_CONTACT_WIRE_ADJUSTMENT,HIGH,86,2026-09-09,75,CREW-TRD-BZA-01,TOWER_WAGON_RU,YES,SUBMITTED_TO_SR_DEE,TDMS
TDMS-JOB-202,TDMS-C01-ISO-0202,Traction,C01,OGL,124.6,MOTORIZED_ISOLATOR_OVERHAUL,CRITICAL,89,2026-09-10,60,CREW-TRD-BZA-01,EARTHING_POLES_SET,YES,PENDING_BLOCK,TDMS
TDMS-JOB-203,TDMS-C04-OHE-0223,Traction,C04,KOU,270.4,SUBSTATION_SWITCHGEAR_INSPECTION,MEDIUM,68,2026-09-12,90,CREW-TRD-NLR-01,TOWER_WAGON_RU,YES,PENDING_BLOCK,TDMS
TDMS-JOB-204,TDMS-C01-OHE-0224,Traction,C01,GDR,290.8,CANTILEVER_DROPPERS_REPLACEMENT,HIGH,82,2026-09-13,45,CREW-TRD-BZA-01,TOWER_WAGON_RU,YES,PENDING_BLOCK,TDMS
TDMS-JOB-205,TDMS-C02-OHE-0225,Traction,C02,SLO,153.2,SUBSTATION_SWITCHGEAR_INSPECTION,MEDIUM,68,2026-09-14,60,CREW-TRD-BZA-01,TOWER_WAGON_RU,YES,PENDING_BLOCK,TDMS
TDMS-JOB-206,TDMS-C03-OHE-0226,Traction,C03,VKN,86.6,CANTILEVER_DROPPERS_REPLACEMENT,HIGH,82,2026-09-15,75,CREW-TRD-NLR-01,TOWER_WAGON_RU,YES,PENDING_BLOCK,TDMS
TDMS-JOB-207,TDMS-C04-OHE-0227,Traction,C04,TU,81.0,SUBSTATION_SWITCHGEAR_INSPECTION,MEDIUM,68,2026-09-16,90,CREW-TRD-NLR-01,TOWER_WAGON_RU,YES,PENDING_BLOCK,TDMS
TDMS-JOB-208,TDMS-C01-OHE-0228,Traction,C01,CLX,92.0,CANTILEVER_DROPPERS_REPLACEMENT,HIGH,82,2026-09-09,45,CREW-TRD-BZA-01,TOWER_WAGON_RU,YES,PENDING_BLOCK,TDMS
TDMS-JOB-209,TDMS-C02-OHE-0229,Traction,C02,EE,292.4,SUBSTATION_SWITCHGEAR_INSPECTION,MEDIUM,68,2026-09-10,60,CREW-TRD-BZA-01,TOWER_WAGON_RU,YES,PENDING_BLOCK,TDMS
TDMS-JOB-210,TDMS-C03-OHE-0230,Traction,C03,NDL,255.8,CANTILEVER_DROPPERS_REPLACEMENT,HIGH,82,2026-09-11,75,CREW-TRD-NLR-01,TOWER_WAGON_RU,YES,PENDING_BLOCK,TDMS
