job_id,asset_id,department,corridor_id,station,km,job_type,severity,priority_score,due_date,estimated_duration_min,crew_required,equipment_required,block_required,status,source_system
SMMS-JOB-301,SMMS-C01-SIG-0501,S&T,C01,OGL,124.6,POINT_MACHINE_OVERHAUL_AND_OBSTRUCTION_TEST,HIGH,85,2026-09-09,60,CREW-SNT-BZA-01,DIGITAL_VOLT_AMMETER,YES,APPROVED_BY_DSTE,SMMS
SMMS-JOB-302,SMMS-C01-AXC-0502,S&T,C01,OGL,124.8,AXLE_COUNTER_RESET_AND_COUPLING_TEST,CRITICAL,91,2026-09-10,45,CREW-SNT-OGL-01,OSCILLOSCOPE_CALIBRATOR,YES,PENDING_BLOCK,SMMS
SMMS-JOB-303,SMMS-C04-SIG-0503,S&T,C04,RU,312.5,LED_SIGNAL_LAMP_REPLACEMENT,MEDIUM,65,2026-09-11,30,CREW-SNT-OGL-01,SAFETY_MULTIMETER,YES,PENDING_BLOCK,SMMS
SMMS-JOB-304,SMMS-C01-SIG-0504,S&T,C01,BZA,12.5,INTERLOCKING_ROUTE_CHECK,HIGH,80,2026-09-12,45,CREW-SNT-BZA-01,SAFETY_MULTIMETER,YES,PENDING_BLOCK,SMMS
SMMS-JOB-305,SMMS-C02-SIG-0505,S&T,C02,SLO,152.0,LED_SIGNAL_LAMP_REPLACEMENT,MEDIUM,65,2026-09-13,60,CREW-SNT-BZA-01,SAFETY_MULTIMETER,YES,PENDING_BLOCK,SMMS
SMMS-JOB-306,SMMS-C03-SIG-0506,S&T,C03,VKN,85.5,INTERLOCKING_ROUTE_CHECK,HIGH,80,2026-09-14,30,CREW-SNT-OGL-01,SAFETY_MULTIMETER,YES,PENDING_BLOCK,SMMS
SMMS-JOB-307,SMMS-C04-SIG-0507,S&T,C04,KDP,107.0,LED_SIGNAL_LAMP_REPLACEMENT,MEDIUM,65,2026-09-15,45,CREW-SNT-OGL-01,SAFETY_MULTIMETER,YES,PENDING_BLOCK,SMMS
SMMS-JOB-308,SMMS-C01-SIG-0508,S&T,C01,OGL,136.5,INTERLOCKING_ROUTE_CHECK,HIGH,80,2026-09-09,60,CREW-SNT-BZA-01,SAFETY_MULTIMETER,YES,PENDING_BLOCK,SMMS
SMMS-JOB-309,SMMS-C02-SIG-0509,S&T,C02,EE,294.0,LED_SIGNAL_LAMP_REPLACEMENT,MEDIUM,65,2026-09-10,30,CREW-SNT-BZA-01,SAFETY_MULTIMETER,YES,PENDING_BLOCK,SMMS
SMMS-JOB-310,SMMS-C03-SIG-0510,S&T,C03,NDL,255.0,INTERLOCKING_ROUTE_CHECK,HIGH,80,2026-09-11,45,CREW-SNT-OGL-01,SAFETY_MULTIMETER,YES,PENDING_BLOCK,SMMS
SMMS-JOB-311,SMMS-C04-SIG-0511,S&T,C04,KOU,270.5,LED_SIGNAL_LAMP_REPLACEMENT,MEDIUM,65,2026-09-12,60,CREW-SNT-OGL-01,SAFETY_MULTIMETER,YES,PENDING_BLOCK,SMMS
SMMS-JOB-312,SMMS-C01-SIG-0512,S&T,C01,GDR,291.0,INTERLOCKING_ROUTE_CHECK,HIGH,80,2026-09-13,30,CREW-SNT-BZA-01,SAFETY_MULTIMETER,YES,PENDING_BLOCK,SMMS
SMMS-JOB-313,SMMS-C02-SIG-0513,S&T,C02,TUNI,101.0,LED_SIGNAL_LAMP_REPLACEMENT,MEDIUM,65,2026-09-14,45,CREW-SNT-BZA-01,SAFETY_MULTIMETER,YES,PENDING_BLOCK,SMMS
SMMS-JOB-314,SMMS-C03-SIG-0514,S&T,C03,DKD,124.0,INTERLOCKING_ROUTE_CHECK,HIGH,80,2026-09-15,60,CREW-SNT-OGL-01,SAFETY_MULTIMETER,YES,PENDING_BLOCK,SMMS
SMMS-JOB-315,SMMS-C04-SIG-0515,S&T,C04,TU,79.0,LED_SIGNAL_LAMP_REPLACEMENT,MEDIUM,65,2026-09-09,30,CREW-SNT-OGL-01,SAFETY_MULTIMETER,YES,PENDING_BLOCK,SMMS
SMMS-JOB-316,SMMS-C01-SIG-0516,S&T,C01,CLX,92.5,INTERLOCKING_ROUTE_CHECK,HIGH,80,2026-09-10,45,CREW-SNT-BZA-01,SAFETY_MULTIMETER,YES,PENDING_BLOCK,SMMS
SMMS-JOB-317,SMMS-C02-SIG-0517,S&T,C02,NDD,226.0,LED_SIGNAL_LAMP_REPLACEMENT,MEDIUM,65,2026-09-11,60,CREW-SNT-BZA-01,SAFETY_MULTIMETER,YES,PENDING_BLOCK,SMMS
SMMS-JOB-318,SMMS-C03-SIG-0518,S&T,C03,GNT,13.5,INTERLOCKING_ROUTE_CHECK,HIGH,80,2026-09-12,30,CREW-SNT-OGL-01,SAFETY_MULTIMETER,YES,PENDING_BLOCK,SMMS
SMMS-JOB-319,SMMS-C04-SIG-0519,S&T,C04,RJP,239.0,LED_SIGNAL_LAMP_REPLACEMENT,MEDIUM,65,2026-09-13,45,CREW-SNT-OGL-01,SAFETY_MULTIMETER,YES,PENDING_BLOCK,SMMS
SMMS-JOB-320,SMMS-C01-SIG-0520,S&T,C01,NLR,257.0,INTERLOCKING_ROUTE_CHECK,HIGH,80,2026-09-14,60,CREW-SNT-BZA-01,SAFETY_MULTIMETER,YES,PENDING_BLOCK,SMMS
SMMS-JOB-321,SMMS-C02-SIG-0521,S&T,C02,DVD,21.0,LED_SIGNAL_LAMP_REPLACEMENT,MEDIUM,65,2026-09-15,30,CREW-SNT-BZA-01,SAFETY_MULTIMETER,YES,PENDING_BLOCK,SMMS
SMMS-JOB-322,SMMS-C03-SIG-0522,S&T,C03,MRK,148.0,INTERLOCKING_ROUTE_CHECK,HIGH,80,2026-09-09,45,CREW-SNT-OGL-01,SAFETY_MULTIMETER,YES,PENDING_BLOCK,SMMS
SMMS-JOB-323,SMMS-C04-SIG-0523,S&T,C04,GY,33.5,LED_SIGNAL_LAMP_REPLACEMENT,MEDIUM,65,2026-09-10,60,CREW-SNT-OGL-01,SAFETY_MULTIMETER,YES,PENDING_BLOCK,SMMS
