job_id,asset_id,department,corridor_id,station,km,job_type,severity,priority_score,due_date,estimated_duration_min,crew_required,equipment_required,block_required,status,source_system
TMS-JOB-101,TMS-C01-TRK-1042,Engineering,C01,OGL,124.4,TRACK_TAMPING_DEEP_SCREENING,CRITICAL,92,2026-09-09,120,CREW-ENG-BZA-01,CSM_TAMPING_09,YES,APPROVED_BY_DEN,TMS
TMS-JOB-102,TMS-C01-PNT-1043,Engineering,C01,OGL,124.6,TURNOUT_SLEEPER_REPLACEMENT,HIGH,84,2026-09-10,90,CREW-ENG-BZA-02,HYDRAULIC_RAIL_TENSOR,YES,PENDING_BLOCK,TMS
TMS-JOB-103,TMS-C01-SEJ-1044,Engineering,C01,CLX,124.8,SWITCH_EXPANSION_JOINT_REALIGNMENT,HIGH,80,2026-09-11,60,CREW-ENG-BZA-02,WELDING_KIT_LPG,YES,PENDING_BLOCK,TMS
TMS-JOB-104,TMS-C02-TRK-2051,Engineering,C02,SLO,150.4,RAIL_FLAW_WELD_REPAIR,CRITICAL,90,2026-09-08,105,CREW-ENG-VSKP-01,FLASH_BUTT_WELDING_RIG,YES,PENDING_BLOCK,TMS
TMS-JOB-105,TMS-C02-SLEEPER-0122,Engineering,C02,DVD,22.9,PWAY_USFD_TESTING_REPAIR,HIGH,76,2026-09-13,45,CREW-ENG-BZA-01,TRACK_JACK_HEAVY,YES,PENDING_BLOCK,TMS
TMS-JOB-106,TMS-C02-JOINT-0123,Engineering,C02,AKP,38.8,PWAY_USFD_TESTING_REPAIR,MEDIUM,62,2026-09-14,60,CREW-ENG-BZA-01,TRACK_JACK_HEAVY,YES,PENDING_BLOCK,TMS
TMS-JOB-107,TMS-C02-CURVE-0124,Engineering,C02,AKP,40.4,PWAY_USFD_TESTING_REPAIR,MEDIUM,62,2026-09-15,90,CREW-ENG-BZA-01,TRACK_JACK_HEAVY,YES,PENDING_BLOCK,TMS
TMS-JOB-108,TMS-C02-JOINT-0125,Engineering,C02,TUNI,100.3,BALLAST_CLEANING_BCM,CRITICAL,88,2026-09-16,120,CREW-ENG-BZA-01,BCM_CLEANER,YES,PENDING_BLOCK,TMS
TMS-JOB-109,TMS-C02-TRACK-0126,Engineering,C02,TUNI,101.9,PWAY_USFD_TESTING_REPAIR,MEDIUM,62,2026-09-17,150,CREW-ENG-BZA-01,TRACK_JACK_HEAVY,YES,PENDING_BLOCK,TMS
TMS-JOB-110,TMS-C02-TURNOUT-0127,Engineering,C02,ANV,115.8,PWAY_USFD_TESTING_REPAIR,MEDIUM,62,2026-09-08,45,CREW-ENG-BZA-01,TRACK_JACK_HEAVY,YES,PENDING_BLOCK,TMS
TMS-JOB-111,TMS-C02-SLEEPER-0128,Engineering,C02,ANV,117.4,PWAY_USFD_TESTING_REPAIR,HIGH,76,2026-09-09,60,CREW-ENG-BZA-01,TRACK_JACK_HEAVY,YES,PENDING_BLOCK,TMS
TMS-JOB-112,TMS-C02-JOINT-0129,Engineering,C02,SLO,152.8,BALLAST_CLEANING_BCM,MEDIUM,62,2026-09-10,90,CREW-ENG-BZA-01,BCM_CLEANER,YES,PENDING_BLOCK,TMS
TMS-JOB-113,TMS-C02-CURVE-0130,Engineering,C02,SLO,154.4,PWAY_USFD_TESTING_REPAIR,MEDIUM,62,2026-09-11,120,CREW-ENG-BZA-01,TRACK_JACK_HEAVY,YES,PENDING_BLOCK,TMS
