train_number,train_name,train_type,days_of_run,section_id,arrival_time,departure_time,direction,priority_score
12712-010,Pinakini SF Return (BZA-TEL),express,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",SEC_C01_01,18:15,18:44,UP,7
12711-011,Pinakini SF Express (BZA-TEL),express,"Mon,Tue,Thu,Sat,Sun",SEC_C01_01,21:00,21:43,DN,7
BCN-Food-409-012,FCI Grain Rake (BZA-TEL),freight,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",SEC_C01_01,07:15,07:56,UP,3
20834-013,Vande Bharat Return (BZA-TEL),express,"Sat,Sun",SEC_C01_01,09:15,09:54,DN,10
12862-014,Visakhapatnam Link SF Return (BZA-TEL),express,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",SEC_C01_01,18:45,19:20,UP,7
12862-020,Visakhapatnam Link SF Return (TEL-BPP),express,"Mon,Wed,Fri",SEC_C01_02,08:00,08:27,UP,7
07577-021,Guntakal - Renigunta Passenger (TEL-BPP),passenger,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",SEC_C01_02,13:30,14:20,DN,4
12727-022,Godavari Express (TEL-BPP),express,"Mon,Tue,Thu,Sat,Sun",SEC_C01_02,11:45,12:12,UP,8
07461-023,Vijayawada - Ongole MEMU (TEL-BPP),passenger,"Mon,Tue,Thu,Sat,Sun",SEC_C01_02,19:15,20:02,DN,4
12841-024,Coromandel Express (TEL-BPP),express,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",SEC_C01_02,19:00,19:52,UP,9
12703-030,Falaknuma Express (BPP-CLX),express,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",SEC_C01_03,14:30,15:00,UP,8
07766-031,Nandyal - Guntur DMU (BPP-CLX),passenger,"Tue,Thu,Sat",SEC_C01_03,08:00,08:44,DN,4
12615-032,Grand Trunk Express (BPP-CLX),express,"Sat,Sun",SEC_C01_03,18:45,19:22,UP,8
12862-033,Visakhapatnam Link SF Return (BPP-CLX),express,"Mon,Tue,Thu,Sat,Sun",SEC_C01_03,18:30,19:21,DN,7
12728-034,Godavari Express Return (BPP-CLX),express,"Mon,Wed,Fri",SEC_C01_03,19:45,20:18,UP,8
12841-040,Coromandel Express (CLX-OGL),express,"Mon,Wed,Fri",SEC_C01_04,04:30,05:01,UP,9
